poly_id,POLY,JAE_COURSE_CODE,COURSE_TITLE,JAE_COURSE_CLUSTER,JAE_ELR2B2,COURSE_URL,school_id
51,Ngee Ann Polytechnic,N94,Information Security & Forensics,INFORMATION & DIGITAL TECHNOLOGIES,10,http://www.np.edu.sg/ict/courses/fulltime/isf/Pages/isf.aspx,382
52,Nanyang Polytechnic,C40,Aerospace / Mechatronics Programme,ENGINEERING,25,http://www.nyp.edu.sg/seg/full-time-courses/aerospace-mechatronics-programme-c40,381
53,Nanyang Polytechnic,C41,Engineering With Business,ENGINEERING,18,http://www.nyp.edu.sg/seg/full-time-courses/diploma-in-engineering-with-business-c41,381
54,Nanyang Polytechnic,C42,Common Engineering Programme,ENGINEERING,26,http://www.nyp.edu.sg/seg/full-time-courses/common-engineering-programme-c42,381
55,Nanyang Polytechnic,C43,Business Intelligence & Analytics,INFORMATION & DIGITAL TECHNOLOGIES,18,http://www.nyp.edu.sg/sit/courses-for-full-time-students/diploma-in-business-intelligence-n-analytics,381
56,Nanyang Polytechnic,C45,Medicinal Chemistry,APPLIED SCIENCES,13,http://www.nyp.edu.sg/scl/courses/diploma-in-medicinal-chemistry,381
57,Nanyang Polytechnic,C46,Food & Beverage Business,BUSINESS & MANAGEMENT,17,http://www.nyp.edu.sg/sbm/full-time-courses/food-and-beverage-business,381
58,Nanyang Polytechnic,C47,Social Sciences (Social Work),HEALTH SCIENCES,16,http://www.nyp.edu.sg/shs/courses/full-time-diploma/diploma-in-social-sciences-social-work,381
59,Nanyang Polytechnic,C48,Electrical Engineering With Eco-Design,ENGINEERING,26,http://www.nyp.edu.sg/seg/full-time-courses/diploma-in-electrical-engineering-with-eco-design-c48,381
60,Nanyang Polytechnic,C49,Biologics & Process Technology,APPLIED SCIENCES,16,http://www.nyp.edu.sg/scl/courses/diploma-in-biologics-n-process-technology,381
61,Nanyang Polytechnic,C50,Nanotechnology & Materials Science,ENGINEERING,18,http://www.nyp.edu.sg/seg/full-time-courses/diploma-in-nanotechnology-n-materials-science-c50,381
62,Nanyang Polytechnic,C51,Aeronautical & Aerospace Technology,ENGINEERING,14,http://www.nyp.edu.sg/seg/full-time-courses/diploma-in-aeronautical-n-aerospace-technology-c51,381
63,Nanyang Polytechnic,C52,Aerospace Systems & Management,ENGINEERING,16,http://www.nyp.edu.sg/seg/full-time-courses/diploma-in-aerospace-systems-and-management-c52,381
64,Nanyang Polytechnic,C53,Telematics & Media Technology,ENGINEERING,24,http://www.nyp.edu.sg/seg/full-time-courses/diploma-in-telematics-n-media-technology-c53,381
65,Nanyang Polytechnic,C54,Cyber Security & Forensics,INFORMATION & DIGITAL TECHNOLOGIES,12,http://www.nyp.edu.sg/sit/courses-for-full-time-students/diploma-in-cyber-security-n-forensics,381
66,Nanyang Polytechnic,C55,Chemical & Green Technology,APPLIED SCIENCES,18,http://www.nyp.edu.sg/scl/courses/diploma-in-chemical-n-green-technology,381
67,Nanyang Polytechnic,C56,Fund Management & Administration,BUSINESS & MANAGEMENT,17,http://www.nyp.edu.sg/sbm/full-time-courses/fund-management-n-administration,381
68,Nanyang Polytechnic,C57,Digital Visual Effects,INFORMATION & DIGITAL TECHNOLOGIES,18,http://www.nyp.edu.sg/sidm/courses/digital-visual-effects,381
69,Nanyang Polytechnic,C58,Financial Informatics,INFORMATION & DIGITAL TECHNOLOGIES,16,http://www.nyp.edu.sg/sit/courses-for-full-time-students/diploma-in-financial-informatics,381
70,Nanyang Polytechnic,C59,Interaction Design,MEDIA & DESIGN,21,http://www.nyp.edu.sg/sidm/courses/interaction-design,381
71,Nanyang Polytechnic,C60,Digital Game Art & Design,MEDIA & DESIGN,17,http://www.nyp.edu.sg/sidm/courses/digital-game-art-n-design,381
72,Nanyang Polytechnic,C61,Animation,MEDIA & DESIGN,15,http://www.nyp.edu.sg/sidm/courses/animation,381
73,Nanyang Polytechnic,C62,Digital & Precision Engineering,ENGINEERING,26,http://www.nyp.edu.sg/seg/full-time-courses/diploma-in-digital-n-precision-engineering-with-scholarship-c62,381
74,Nanyang Polytechnic,C63,Visual Communication,MEDIA & DESIGN,18,http://www.nyp.edu.sg/sdn/courses-for-full-time-students/diploma-in-visual-communication,381
75,Nanyang Polytechnic,C64,Spatial Design,MEDIA & DESIGN,19,http://www.nyp.edu.sg/sdn/courses-for-full-time-students/diploma-in-spatial-design,381
76,Nanyang Polytechnic,C65,Pharmaceutical Sciences,APPLIED SCIENCES,13,http://www.nyp.edu.sg/scl/courses/diploma-in-pharmaceutical-sciences,381
77,Nanyang Polytechnic,C66,Motion Graphics & Broadcast Design,MEDIA & DESIGN,19,http://www.nyp.edu.sg/sidm/courses/motion-graphics-n-broadcast-design,381
78,Nanyang Polytechnic,C67,Hospitality & Tourism Management,BUSINESS & MANAGEMENT,16,http://www.nyp.edu.sg/sbm/full-time-courses/hospitality-n-tourism-management,381
79,Nanyang Polytechnic,C68,Business Enterprise IT,INFORMATION & DIGITAL TECHNOLOGIES,18,http://www.nyp.edu.sg/sit/courses-for-full-time-students/diploma-in-business-enterprise-it,381
80,Nanyang Polytechnic,C69,Food Science & Nutrition,APPLIED SCIENCES,16,http://www.nyp.edu.sg/scl/courses/diploma-in-food-science-n-nutrition,381
81,Nanyang Polytechnic,C70,Game Development & Technology,INFORMATION & DIGITAL TECHNOLOGIES,16,http://www.nyp.edu.sg/sidm/courses/game-development-n-technology,381
82,Nanyang Polytechnic,C71,Biomedical Engineering,ENGINEERING,17,http://www.nyp.edu.sg/seg/full-time-courses/diploma-in-biomedical-engineering-c71,381
83,Nanyang Polytechnic,C72,Oral Health Therapy,HEALTH SCIENCES,14,http://www.nyp.edu.sg/shs/courses/full-time-diploma/diploma-in-oral-health-therapy,381
84,Nanyang Polytechnic,C73,Chemical & Pharmaceutical Technology,APPLIED SCIENCES,17,http://www.nyp.edu.sg/scl/courses/diploma-in-chemical-n-pharmaceutical-technology,381
85,Nanyang Polytechnic,C74,Molecular Biotechnology,APPLIED SCIENCES,12,http://www.nyp.edu.sg/scl/courses/diploma-in-molecular-biotechnology,381
86,Nanyang Polytechnic,C75,Multimedia & Infocomm Technology,ENGINEERING,26,http://www.nyp.edu.sg/seg/full-time-courses/diploma-in-multimedia-n-infocomm-technology-c75,381
87,Nanyang Polytechnic,C78,Business Informatics,INFORMATION & DIGITAL TECHNOLOGIES,18,http://www.nyp.edu.sg/sit/courses-for-full-time-students/diploma-in-business-informatics,381
88,Nanyang Polytechnic,C80,Infocomm and Security,INFORMATION & DIGITAL TECHNOLOGIES,24,http://www.nyp.edu.sg/sit/courses-for-full-time-students/diploma-in-engineering-informatics,381
89,Nanyang Polytechnic,C81,Sport & Wellness Management,BUSINESS & MANAGEMENT,18,http://www.nyp.edu.sg/sbm/full-time-courses/sport-n-wellness-management,381
90,Nanyang Polytechnic,C83,Industrial Design,MEDIA & DESIGN,20,http://www.nyp.edu.sg/sdn/courses-for-full-time-students/diploma-in-industrial-design,381
91,Nanyang Polytechnic,C85,Information Technology,INFORMATION & DIGITAL TECHNOLOGIES,20,http://www.nyp.edu.sg/sit/courses-for-full-time-students/diploma-in-information-technology,381
92,Nanyang Polytechnic,C89,Electronic Systems,ENGINEERING,26,http://www.nyp.edu.sg/seg/full-time-courses/diploma-in-electronic-systems-c89,381
93,Nanyang Polytechnic,C93,Mass Media Management,BUSINESS & MANAGEMENT,14,http://www.nyp.edu.sg/sbm/full-time-courses/mass-media-management,381
94,Nanyang Polytechnic,C94,Business Management,BUSINESS & MANAGEMENT,16,http://www.nyp.edu.sg/sbm/full-time-courses/business-management,381
95,Nanyang Polytechnic,C96,Banking & Finance,BUSINESS & MANAGEMENT,14,http://www.nyp.edu.sg/sbm/full-time-courses/banking-n-finance,381
96,Nanyang Polytechnic,C97,Nursing,HEALTH SCIENCES,26,http://www.nyp.edu.sg/shs/courses/full-time-diploma/diploma-in-nursing,381
97,Nanyang Polytechnic,C98,Accountancy & Finance,BUSINESS & MANAGEMENT,13,http://www.nyp.edu.sg/sbm/full-time-courses/accountancy-n-finance,381
98,Nanyang Polytechnic,C99,Marketing,BUSINESS & MANAGEMENT,17,http://www.nyp.edu.sg/sbm/full-time-courses/marketing,381
99,Republic Polytechnic,R11,Industrial and Operations Management,BUSINESS & MANAGEMENT,26,http://www.rp.edu.sg/Diploma_in_Industrial_And_Operations_Management_(R11).aspx,380
100,Republic Polytechnic,R12,Information Technology,INFORMATION & DIGITAL TECHNOLOGIES,26,http://www.rp.edu.sg/Diploma_in_Information_Technology_(R12).aspx,380
101,Republic Polytechnic,R13,Business Information Systems,INFORMATION & DIGITAL TECHNOLOGIES,26,http://www.rp.edu.sg/Diploma_in_Business_Information_Systems_(R13).aspx,380
102,Republic Polytechnic,R14,Biomedical Sciences,APPLIED SCIENCES,14,http://www.rp.edu.sg/Diploma_in_Biomedical_Sciences_(R14).aspx,380
103,Republic Polytechnic,R16,Biotechnology,APPLIED SCIENCES,18,http://www.rp.edu.sg/Diploma_in_Biotechnology_(R16).aspx,380
104,Republic Polytechnic,R17,Materials Science,APPLIED SCIENCES,26,http://www.rp.edu.sg/Diploma_in_Materials_Science_(R17).aspx,380
105,Republic Polytechnic,R18,Business Applications,INFORMATION & DIGITAL TECHNOLOGIES,22,http://www.rp.edu.sg/Diploma_in_Business_Applications_(R18).aspx,380
106,Republic Polytechnic,R19,Media Production and Design,MEDIA & DESIGN,21,http://www.rp.edu.sg/Diploma_in_Media_Production_and_Design_(R19).aspx,380
107,Republic Polytechnic,R20,Aerospace Avionics,ENGINEERING,22,http://www.rp.edu.sg/Diploma_in_Aerospace_Avionics_(R20).aspx,380
108,Republic Polytechnic,R21,Supply Chain Management,BUSINESS & MANAGEMENT,21,http://www.rp.edu.sg/Diploma_in_Supply_Chain_Management_(R21).aspx,380
109,Republic Polytechnic,R22,Pharmaceutical Sciences,APPLIED SCIENCES,20,http://www.rp.edu.sg/Diploma_in_Pharmaceutical_Sciences_(R22).aspx,380
110,Republic Polytechnic,R24,Sonic Arts,MEDIA & DESIGN,20,http://www.rp.edu.sg/Diploma_in_Sonic_Arts_(R24).aspx,380
111,Republic Polytechnic,R25,Arts and Theatre Management,MEDIA & DESIGN,19,http://www.rp.edu.sg/Diploma_in_Arts_and_Theatre_Management_(R25).aspx,380
112,Republic Polytechnic,R26,Sports and Exercise Sciences,HEALTH SCIENCES,22,http://www.rp.edu.sg/Diploma_in_Sports_And_Exercise_Sciences_(R26).aspx,380
113,Republic Polytechnic,R27,Sports and Leisure Management,BUSINESS & MANAGEMENT,26,http://www.rp.edu.sg/Diploma_in_Sports_and_Leisure_Management_(R27).aspx,380
114,Republic Polytechnic,R28,Integrated Events Management,BUSINESS & MANAGEMENT,22,http://www.rp.edu.sg/Diploma_in_Integrated_Events_Management_(R28).aspx,380
115,Republic Polytechnic,R29,Environmental Science,APPLIED SCIENCES,26,http://www.rp.edu.sg/Diploma_in_Environmental_Science_(R29).aspx,380
116,Republic Polytechnic,R31,Interactive and Digital Media,MEDIA & DESIGN,24,http://www.rp.edu.sg/Diploma_in_Interactive_And_Digital_Media_(R31).aspx,380
117,Republic Polytechnic,R32,Mass Communication,MEDIA & DESIGN,17,http://www.rp.edu.sg/Diploma_in_Mass_Communication_(R32).aspx,380
118,Republic Polytechnic,R33,Outdoor and Adventure Learning,BUSINESS & MANAGEMENT,26,http://www.rp.edu.sg/Diploma_in_Outdoor_And_Adventure_Learning_(R33).aspx,380
119,Republic Polytechnic,R34,Customer Experience Management with Business,BUSINESS & MANAGEMENT,26,http://www.rp.edu.sg/Diploma_in_Customer_Relationship_and_Service_Management_(R34).aspx,380
120,Republic Polytechnic,R35,Game Design,MEDIA & DESIGN,21,http://www.rp.edu.sg/Diploma_in_Game_Design_(R35).aspx,380
121,Republic Polytechnic,R36,Design for User Experience,MEDIA & DESIGN,22,http://www.rp.edu.sg/Diploma_in_Design_for_User_Experience_(R36).aspx,380
122,Republic Polytechnic,R37,Hotel and Hospitality Management,BUSINESS & MANAGEMENT,19,http://www.rp.edu.sg/Diploma_in_Hotel_and_Hospitality_Management_(R37).aspx,380
123,Republic Polytechnic,R39,Aviation Management,BUSINESS & MANAGEMENT,18,http://www.rp.edu.sg/Diploma_in_Aviation_Management_(R39).aspx,380
124,Republic Polytechnic,R40,Aerospace Engineering,ENGINEERING,20,http://www.rp.edu.sg/Diploma_in_Aerospace_Engineering_(R40).aspx,380
